facility_id,facility_name,co2e_emission,gas_name,ghg_quantity,year,subpart_name,latitude,longitude
1005420,COVE POINT LNG FACILITY,22.3500000000,Nitrous Oxide,0.07500000000000000000,2022,W,38.384070000000000,-76.412330000000000
1012497,"MarkWest Energy South Texas Gas Company, L.L.C. - 220 Gulf Coast Basin (LA, TX) - G&B",1.1920000000,Nitrous Oxide,0.00400000000000000000,2022,W,39.747140000000000,-104.996580000000000
1013739,Marlan Gas Plant,2209.5000000000,Methane,88.3800000000000000,2022,W,32.535209000000000,-103.825291000000000
1004302,Beaver Gas Plant,190.8000000000,Carbon Dioxide,190.8000000000000000,2022,W,36.726410000000000,-100.292690000000000
1011701,Grand Isle 115 A,14520.0000000000,Methane,580.8000000000000000,2022,W,28.307612300000000,-90.021967000000000
1001849,"SNG Station 5216 Bay Springs, MS",2.8000000000,Carbon Dioxide,2.8000000000000000,2022,W,31.949109000000000,-89.313176000000000
1014465,"Summit Utilities Inc., Arkansas (Texas)",2.0000000000,Carbon Dioxide,2.0000000000000000,2022,W,39.586824374043900,-104.862546287440000
1012680,US Realm LLC Atlantic Rim,25125.5000000000,Methane,1005.0200000000000000,2022,W,44.782046000000000,-106.948381000000000
1013788,Sale Ranch Gas Plant,125.4580000000,Nitrous Oxide,0.42100000000000000000,2022,W,32.222589498015400,-101.903378840676000
1013561,"TGP Station 827 Alexandria, LA",0.9000000000,Carbon Dioxide,0.90000000000000000000,2022,W,31.190566000000000,-92.355996000000000
1013033,DGOC 160A Boosting and Gathering,86.1220000000,Nitrous Oxide,0.28900000000000000000,2022,W,41.260790000000000,-80.162300000000000
1013050,EOIT Oklahoma,6998.7500000000,Methane,279.9500000000000000,2022,W,35.466460000000000,-97.521240000000000
1006905,DCP MIDSTREAM LP/OKARCHE GAS PLT,9.8340000000,Nitrous Oxide,0.03300000000000000000,2022,W,35.734125000000000,-98.084146000000000
1014388,Foundation Energy Management 395 Williston Basin,12.2180000000,Nitrous Oxide,0.04100000000000000000,2022,W,32.969788608231300,-96.824031533266300
1009772,"KH North Elm Grove Gas Treating Facility Haughton, LA",1.1920000000,Nitrous Oxide,0.00400000000000000000,2022,W,32.455297000000000,-93.488802000000000
1012360,CRPC - San Joaquin Valley Gathering and Boosting,133533.0000000000,Methane,5341.3200000000000000,2022,W,35.126851300000000,-119.185578500000000
1007394,COLUMBIA GULF TRANSMISSION LLC - RAYNE COMPRESSOR STATION,3.4000000000,Carbon Dioxide,3.4000000000000000,2022,W,30.320830000000000,-92.265600000000000
1008151,"CIG Station 5610 Greasewood, CO",0.7000000000,Carbon Dioxide,0.70000000000000000000,2022,W,39.854648000000000,-108.105434000000000
1012626,GATHERING/BOOSTING SAN JUAN BASIN 580,3698.5000000000,Methane,147.9400000000000000,2022,W,36.859911900000000,-107.621532100000000
1010772,Seneca Gas Processing Plant,1290.0000000000,Methane,51.6000000000000000,2022,W,39.802274000000000,-81.346571000000000
1002427,Lebanon,9.3000000000,Carbon Dioxide,9.3000000000000000,2022,W,39.445842000000000,-84.206799000000000
1012214,DCP Midstream 540 Denver Basin,328.6940000000,Nitrous Oxide,1.1030000000000000,2022,W,39.743690000000000,-104.987770000000000
1012140,Eastern Gas Transmission and Storage - Appalachian Basin (Eastern Overthrust Area) (Gath),21.1580000000,Nitrous Oxide,0.07100000000000000000,2022,W,39.333670000000000,-80.234780000000000
1013100,"Trinity Operating USG, LLC - Arkoma (Basin 345)",26732.1000000000,Carbon Dioxide,26732.100000000000,2022,W,29.752554000000000,-95.370400900000000
1003462,Eastern Gas Transmission and Storage - Lightburn Station and Extraction Plant (Stor and Proc),3.4000000000,Carbon Dioxide,3.4000000000000000,2022,W,39.119136000000000,-80.455361000000000
1005489,Madill Plant,671.5000000000,Methane,26.8600000000000000,2022,W,34.084167000000000,-96.590000000000000
1013196,Galaxy Compressor Station,945.5000000000,Carbon Dioxide,945.5000000000000000,2022,W,41.093423000000000,-79.759652000000000
1008298,XPR Resources LLC,8510.2000000000,Carbon Dioxide,8510.2000000000000000,2022,W,39.748460000000000,-104.994020000000000
1004776,ANR Pipeline Greensburg CS,3150.2500000000,Methane,126.0100000000000000,2022,W,37.614220000000000,-99.396874000000000
1013912,Albany,1149.7500000000,Methane,45.9900000000000000,2022,W,31.548990000000000,-84.248426000000000
1008086,"Uinta Wax Operating, LLC",84104.7000000000,Carbon Dioxide,84104.700000000000,2022,W,39.744970000000000,-104.989430000000000
1012800,Black Hills Energy Arkansas LLC_345 Arkoma Basin_GB,6.2580000000,Nitrous Oxide,0.02100000000000000000,2022,W,36.114680000000000,-94.148230000000000
1007304,Columbia Gas of Virginia,31506.5000000000,Methane,1260.2600000000000000,2022,W,37.363750000000000,-77.395160000000000
1001966,The Peoples Gas Light and Coke Company,7453.0000000000,Carbon Dioxide,7453.0000000000000000,2022,W,41.884480000000000,-87.623120000000000
1008957,"EXCO Resources, Inc. - Arkla Basin #230",83091.5000000000,Methane,3323.6600000000000000,2022,W,32.915930000000000,-96.772490000000000
1008412,Dilley Treating Facility,112.2500000000,Methane,4.4900000000000000,2022,W,28.461253000000000,-99.101350000000000
1008051,"Range Resources - Appalachia, LLC - Basin 160A",146585.6000000000,Carbon Dioxide,146585.600000000000,2022,W,36.710000000000000,-81.980000000000000
1010159,City of Lexington,2.8000000000,Carbon Dioxide,2.8000000000000000,2022,W,35.735248500000000,-80.232131300000000
1004363,HENRY HUB AREA FACILITIES,377.0000000000,Carbon Dioxide,377.0000000000000000,2022,W,29.897358000000000,-92.066751000000000
